Customer_ID,Age,Gender,Income_Level,Transaction_Category,Transaction_Amount,Payment_Mode,Transaction_Date
CUST1000,56,Male,Medium,Food,13385.11,UPI,2024-01-01
CUST1001,46,Female,Medium,Bills,16176.13,Debit Card,2024-01-02
CUST1002,32,Male,Medium,Shopping,15269.47,Credit Card,2024-01-03
CUST1003,25,Male,Medium,Food,15976.49,Debit Card,2024-01-04
CUST1004,38,Male,Low,Food,8768.11,Credit Card,2024-01-05
CUST1005,56,Male,Medium,Shopping,16374.9,Credit Card,2024-01-06
CUST1006,36,Male,Medium,Entertainment,2492.16,Debit Card,2024-01-07
CUST1007,40,Male,Medium,Food,10935.33,UPI,2024-01-08
CUST1008,28,Male,Medium,Entertainment,214.6,UPI,2024-01-09
CUST1009,28,Female,Low,Shopping,6559.26,Cash,2024-01-10
CUST1010,41,Male,Low,Entertainment,7392.58,UPI,2024-01-11
CUST1011,53,Male,Medium,Travel,7983.84,Cash,2024-01-12
CUST1012,57,Female,Medium,Bills,13939.8,UPI,2024-01-13
CUST1013,41,Female,Medium,Food,7832.31,UPI,2024-01-14
CUST1014,20,Female,Medium,Others,9029.0,Credit Card,2024-01-15
CUST1015,39,Male,High,Bills,4827.13,Cash,2024-01-16
CUST1016,19,Female,Medium,Entertainment,7527.71,UPI,2024-01-17
CUST1017,41,Male,Low,Food,4622.67,Cash,2024-01-18
CUST1018,47,Male,Low,Entertainment,1556.6,Credit Card,2024-01-19
CUST1019,55,Male,Low,Travel,12108.63,Credit Card,2024-01-20
CUST1020,19,Male,Low,Shopping,13397.43,Cash,2024-01-21
CUST1021,38,Female,Low,Food,12427.86,Credit Card,2024-01-22
CUST1022,50,Female,Low,Travel,9323.53,Debit Card,2024-01-23
CUST1023,29,Male,Low,Travel,7657.74,Debit Card,2024-01-24
CUST1024,39,Male,Low,Food,17280.34,Credit Card,2024-01-25
CUST1025,42,Male,High,Entertainment,10429.73,Debit Card,2024-01-26
CUST1026,44,Female,Low,Others,9635.72,UPI,2024-01-27
CUST1027,59,Male,Medium,Travel,610.28,Cash,2024-01-28
CUST1028,45,Male,Medium,Bills,6890.83,UPI,2024-01-29
CUST1029,33,Female,High,Travel,7665.89,Cash,2024-01-30
CUST1030,32,Female,Low,Others,8036.57,Credit Card,2024-01-31
CUST1031,20,Male,Medium,Entertainment,11645.43,UPI,2024-02-01
CUST1032,54,Female,High,Entertainment,10718.69,Credit Card,2024-02-02
CUST1033,24,Female,High,Bills,12197.31,Credit Card,2024-02-03
CUST1034,38,Male,High,Travel,15321.18,Cash,2024-02-04
CUST1035,26,Female,Low,Entertainment,16278.42,Cash,2024-02-05
CUST1036,56,Male,Low,Others,14390.65,Cash,2024-02-06
CUST1037,35,Female,Medium,Food,19114.92,UPI,2024-02-07
CUST1038,21,Male,High,Shopping,462.83,Debit Card,2024-02-08
CUST1039,42,Male,Medium,Shopping,3995.98,Cash,2024-02-09
CUST1040,31,Male,Medium,Shopping,250.5,Cash,2024-02-10
CUST1041,26,Female,Low,Travel,12984.75,UPI,2024-02-11
CUST1042,43,Male,Medium,Bills,17970.81,Cash,2024-02-12
CUST1043,19,Female,Low,Entertainment,4945.3,UPI,2024-02-13
CUST1044,37,Male,Medium,Food,18547.99,Credit Card,2024-02-14
CUST1045,45,Male,Medium,Others,1299.32,Cash,2024-02-15
CUST1046,24,Female,Medium,Food,18695.28,Cash,2024-02-16
CUST1047,25,Male,Low,Others,7097.29,Credit Card,2024-02-17
CUST1048,52,Male,Low,Travel,2118.27,Credit Card,2024-02-18
CUST1049,31,Female,Medium,Shopping,9768.85,Credit Card,2024-02-19
CUST1050,34,Male,Low,Travel,5209.85,Cash,2024-02-20
CUST1051,53,Male,Medium,Bills,5768.97,Debit Card,2024-02-21
CUST1052,57,Male,Low,Bills,6215.07,Debit Card,2024-02-22
CUST1053,21,Male,Medium,Others,16080.22,Debit Card,2024-02-23
CUST1054,19,Female,Medium,Entertainment,10829.31,Cash,2024-02-24
CUST1055,23,Female,Low,Entertainment,6295.02,Credit Card,2024-02-25
CUST1056,59,Male,Medium,Others,12245.64,Cash,2024-02-26
CUST1057,21,Female,Low,Bills,14351.4,Credit Card,2024-02-27
CUST1058,46,Male,Low,Bills,5525.22,Cash,2024-02-28
CUST1059,35,Female,High,Bills,8329.63,Cash,2024-02-29
CUST1060,43,Male,Medium,Travel,2525.53,Credit Card,2024-03-01
CUST1061,51,Male,High,Bills,3704.87,Debit Card,2024-03-02
CUST1062,27,Male,Low,Food,13654.25,Credit Card,2024-03-03
CUST1063,53,Male,Medium,Shopping,3710.62,UPI,2024-03-04
CUST1064,31,Male,Medium,Bills,10550.75,UPI,2024-03-05
CUST1065,48,Male,Medium,Others,14210.02,Credit Card,2024-03-06
CUST1066,32,Female,Medium,Shopping,2226.85,Cash,2024-03-07
CUST1067,25,Male,Medium,Travel,11389.51,UPI,2024-03-08
CUST1068,31,Female,Medium,Others,5205.6,UPI,2024-03-09
CUST1069,40,Male,High,Shopping,19262.24,Cash,2024-03-10
CUST1070,57,Female,High,Others,9722.56,Cash,2024-03-11
CUST1071,38,Female,High,Travel,16139.25,Debit Card,2024-03-12
CUST1072,33,Female,Low,Food,11049.51,Cash,2024-03-13
CUST1073,35,Male,Medium,Travel,963.91,Credit Card,2024-03-14
CUST1074,41,Male,High,Travel,12699.71,Credit Card,2024-03-15
CUST1075,43,Female,Low,Others,19032.93,Debit Card,2024-03-16
CUST1076,42,Male,Low,Entertainment,12072.08,UPI,2024-03-17
CUST1077,58,Female,Medium,Bills,16401.86,UPI,2024-03-18
CUST1078,46,Male,Medium,Bills,17695.71,Cash,2024-03-19
CUST1079,32,Female,High,Food,4638.79,Credit Card,2024-03-20
CUST1080,18,Female,Low,Food,4319.69,UPI,2024-03-21
CUST1081,42,Male,Medium,Bills,12258.52,Debit Card,2024-03-22
CUST1082,24,Female,Low,Entertainment,8279.47,Debit Card,2024-03-23
CUST1083,26,Male,Low,Bills,16813.24,Credit Card,2024-03-24
CUST1084,41,Female,Low,Entertainment,18010.46,Debit Card,2024-03-25
CUST1085,18,Female,High,Food,7133.09,Debit Card,2024-03-26
CUST1086,25,Male,Medium,Shopping,4813.72,Credit Card,2024-03-27
CUST1087,41,Male,Medium,Others,15632.46,Cash,2024-03-28
CUST1088,28,Male,Medium,Food,5568.64,Cash,2024-03-29
CUST1089,34,Female,High,Food,16470.02,Debit Card,2024-03-30
CUST1090,25,Male,Medium,Travel,8532.39,Cash,2024-03-31
CUST1091,52,Female,High,Travel,13384.24,Cash,2024-04-01
CUST1092,52,Female,Medium,Travel,2001.15,Debit Card,2024-04-02
CUST1093,50,Male,Medium,Others,12514.8,Cash,2024-04-03
CUST1094,22,Male,Medium,Travel,9090.18,Debit Card,2024-04-04
CUST1095,59,Female,Medium,Entertainment,11773.51,UPI,2024-04-05
CUST1096,56,Female,Medium,Bills,3443.48,Credit Card,2024-04-06
CUST1097,58,Male,Medium,Shopping,14763.79,Credit Card,2024-04-07
CUST1098,45,Male,Low,Food,17269.66,Cash,2024-04-08
CUST1099,24,Male,High,Entertainment,4413.12,Cash,2024-04-09
CUST1100,26,Male,Medium,Shopping,2004.72,Cash,2024-04-10
CUST1101,25,Male,Medium,Entertainment,570.41,Credit Card,2024-04-11
CUST1102,29,Female,High,Entertainment,12875.23,UPI,2024-04-12
CUST1103,51,Female,Medium,Food,12181.17,UPI,2024-04-13
CUST1104,50,Female,Low,Bills,10979.28,Credit Card,2024-04-14
CUST1105,40,Female,High,Travel,4715.75,UPI,2024-04-15
CUST1106,41,Male,Medium,Others,7879.03,Credit Card,2024-04-16
CUST1107,54,Male,Medium,Bills,11930.08,UPI,2024-04-17
CUST1108,52,Male,Low,Others,9985.66,Debit Card,2024-04-18
CUST1109,57,Female,Medium,Food,19756.93,Debit Card,2024-04-19
CUST1110,39,Female,Medium,Food,2815.15,Credit Card,2024-04-20
CUST1111,44,Male,Medium,Food,13933.38,UPI,2024-04-21
CUST1112,52,Male,High,Shopping,8145.94,Cash,2024-04-22
CUST1113,18,Female,Medium,Others,8621.17,UPI,2024-04-23
CUST1114,52,Female,Low,Bills,14380.2,Debit Card,2024-04-24
CUST1115,54,Male,Medium,Bills,13879.48,Debit Card,2024-04-25
CUST1116,31,Male,Low,Entertainment,19825.99,UPI,2024-04-26
CUST1117,20,Female,Medium,Entertainment,2655.05,UPI,2024-04-27
CUST1118,18,Male,Low,Entertainment,2171.78,Cash,2024-04-28
CUST1119,22,Male,Medium,Food,14514.34,Cash,2024-04-29
CUST1120,43,Male,Medium,Bills,11609.9,UPI,2024-04-30
CUST1121,31,Female,High,Others,5555.8,UPI,2024-05-01
CUST1122,56,Female,Medium,Food,1680.45,UPI,2024-05-02
CUST1123,44,Female,High,Shopping,1804.6,UPI,2024-05-03
CUST1124,26,Female,Low,Entertainment,17894.4,Credit Card,2024-05-04
CUST1125,32,Female,High,Food,3918.16,UPI,2024-05-05
CUST1126,32,Female,Low,Food,6535.09,Cash,2024-05-06
CUST1127,43,Female,Medium,Shopping,4610.46,Debit Card,2024-05-07
CUST1128,59,Male,Medium,Travel,7164.43,Credit Card,2024-05-08
CUST1129,30,Male,Low,Bills,1481.53,UPI,2024-05-09
CUST1130,49,Male,Low,Others,10429.29,Debit Card,2024-05-10
CUST1131,56,Male,Medium,Travel,1445.49,Credit Card,2024-05-11
CUST1132,49,Male,Medium,Entertainment,16027.09,Debit Card,2024-05-12
CUST1133,21,Male,Medium,Food,4750.87,UPI,2024-05-13
CUST1134,47,Male,Medium,Shopping,10846.24,UPI,2024-05-14
CUST1135,54,Female,Medium,Shopping,17613.57,Cash,2024-05-15
CUST1136,40,Female,Low,Bills,13052.46,UPI,2024-05-16
CUST1137,56,Male,Medium,Travel,10705.86,UPI,2024-05-17
CUST1138,32,Male,Low,Bills,6554.24,Credit Card,2024-05-18
CUST1139,46,Female,High,Food,6726.74,Cash,2024-05-19
CUST1140,53,Male,Medium,Bills,13422.79,Credit Card,2024-05-20
CUST1141,30,Male,Medium,Others,19883.37,Debit Card,2024-05-21
CUST1142,49,Female,Medium,Shopping,13270.6,UPI,2024-05-22
CUST1143,24,Male,High,Shopping,11199.89,Debit Card,2024-05-23
CUST1144,39,Female,Low,Entertainment,14639.95,Credit Card,2024-05-24
CUST1145,45,Male,Medium,Entertainment,9357.59,UPI,2024-05-25
CUST1146,19,Female,Medium,Food,1296.83,UPI,2024-05-26
CUST1147,59,Female,Medium,Others,11289.71,Credit Card,2024-05-27
CUST1148,23,Female,Low,Travel,19156.74,Credit Card,2024-05-28
CUST1149,45,Male,High,Bills,3588.53,Credit Card,2024-05-29
CUST1150,45,Female,High,Food,13831.1,Credit Card,2024-05-30
CUST1151,37,Male,Medium,Entertainment,4098.58,Credit Card,2024-05-31
CUST1152,47,Male,Medium,Bills,10762.97,UPI,2024-06-01
CUST1153,28,Male,High,Entertainment,2023.86,Credit Card,2024-06-02
CUST1154,45,Male,Medium,Bills,9062.38,UPI,2024-06-03
CUST1155,42,Female,Low,Travel,15147.65,UPI,2024-06-04
CUST1156,56,Female,Medium,Food,7016.67,Credit Card,2024-06-05
CUST1157,50,Male,Medium,Bills,13331.74,Credit Card,2024-06-06
CUST1158,18,Male,Medium,Others,15929.45,Cash,2024-06-07
CUST1159,44,Female,Medium,Shopping,18550.84,UPI,2024-06-08
CUST1160,30,Male,High,Others,4769.38,Credit Card,2024-06-09
CUST1161,58,Female,High,Others,8046.39,Credit Card,2024-06-10
CUST1162,20,Male,Medium,Shopping,3133.08,Credit Card,2024-06-11
CUST1163,56,Male,Low,Others,19850.42,Cash,2024-06-12
CUST1164,23,Female,High,Bills,18547.32,Cash,2024-06-13
CUST1165,25,Male,High,Bills,10845.15,Debit Card,2024-06-14
CUST1166,44,Female,Low,Bills,16856.46,UPI,2024-06-15
CUST1167,26,Male,High,Shopping,10467.06,Debit Card,2024-06-16
CUST1168,54,Male,High,Others,12509.36,Credit Card,2024-06-17
CUST1169,50,Male,Medium,Shopping,1873.58,Cash,2024-06-18
CUST1170,59,Female,Medium,Bills,15129.88,Cash,2024-06-19
CUST1171,41,Male,Medium,Others,2641.5,Debit Card,2024-06-20
CUST1172,32,Male,Low,Others,16538.75,Cash,2024-06-21
CUST1173,49,Male,Medium,Entertainment,15662.36,Credit Card,2024-06-22
CUST1174,49,Male,High,Entertainment,14204.02,Cash,2024-06-23
CUST1175,41,Female,Low,Travel,819.59,Debit Card,2024-06-24
CUST1176,58,Female,Medium,Food,6132.25,Credit Card,2024-06-25
CUST1177,29,Male,Medium,Entertainment,5335.94,Debit Card,2024-06-26
CUST1178,56,Female,Medium,Shopping,7266.71,Cash,2024-06-27
CUST1179,19,Male,High,Entertainment,1844.09,Debit Card,2024-06-28
CUST1180,20,Male,Medium,Travel,18745.46,Debit Card,2024-06-29
CUST1181,54,Male,Medium,Others,11120.66,UPI,2024-06-30
CUST1182,34,Female,Medium,Travel,6179.93,Cash,2024-07-01
CUST1183,19,Female,Medium,Others,7999.93,Cash,2024-07-02
CUST1184,19,Female,Low,Others,8999.33,Debit Card,2024-07-03
CUST1185,45,Female,Medium,Food,12051.83,UPI,2024-07-04
CUST1186,40,Female,Low,Entertainment,10362.02,Cash,2024-07-05
CUST1187,54,Female,Low,Shopping,18395.9,Credit Card,2024-07-06
CUST1188,49,Female,Medium,Shopping,9989.57,Debit Card,2024-07-07
CUST1189,50,Female,Medium,Bills,19843.94,Cash,2024-07-08
CUST1190,18,Female,High,Others,17043.36,Credit Card,2024-07-09
CUST1191,36,Male,Medium,Shopping,4249.36,Cash,2024-07-10
CUST1192,19,Female,Medium,Food,18618.84,Credit Card,2024-07-11
CUST1193,43,Female,Medium,Others,2415.69,Debit Card,2024-07-12
CUST1194,49,Female,Low,Food,16367.25,Cash,2024-07-13
CUST1195,23,Female,Medium,Shopping,7674.4,Cash,2024-07-14
CUST1196,49,Female,Low,Shopping,17571.69,UPI,2024-07-15
CUST1197,21,Female,High,Bills,17374.33,Debit Card,2024-07-16
CUST1198,28,Female,Low,Shopping,16137.92,Credit Card,2024-07-17
CUST1199,34,Female,Medium,Others,15821.61,Cash,2024-07-18
CUST1200,55,Female,Low,Others,6163.11,Cash,2024-07-19
CUST1201,41,Female,High,Others,1710.29,Credit Card,2024-07-20
CUST1202,22,Female,Medium,Bills,8119.31,Debit Card,2024-07-21
CUST1203,51,Male,Medium,Bills,3553.14,UPI,2024-07-22
CUST1204,23,Male,Low,Shopping,13929.53,UPI,2024-07-23
CUST1205,39,Female,Medium,Travel,6987.38,Cash,2024-07-24
CUST1206,28,Female,Low,Travel,19514.64,Credit Card,2024-07-25
CUST1207,33,Male,High,Bills,12855.34,Cash,2024-07-26
CUST1208,50,Female,Low,Shopping,16467.36,Credit Card,2024-07-27
CUST1209,26,Male,Low,Travel,2737.24,UPI,2024-07-28
